"missouri pippin apples, painted by royal charles steadman, 1918",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Pomological_Watercolor_POM00000029.jpg/687px-Pomological_Watercolor_POM00000029.jpg
"star apples, painted by william henry prestele, 1887",https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Pomological_Watercolor_POM00000030.jpg/814px-Pomological_Watercolor_POM00000030.jpg
"stayman apples, painted by royal charles steadman, 1918",https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Pomological_Watercolor_POM00000031.jpg/744px-Pomological_Watercolor_POM00000031.jpg
"apples, painted by james marion shull",https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Pomological_Watercolor_POM00000032.jpg/732px-Pomological_Watercolor_POM00000032.jpg
"summer extra apples, painted by royal charles steadman, 1920",https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Pomological_Watercolor_POM00000033.jpg/681px-Pomological_Watercolor_POM00000033.jpg
"titus apples, painted by royal charles steadman, 1918",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Pomological_Watercolor_POM00000034.jpg/754px-Pomological_Watercolor_POM00000034.jpg
"antonovka apples, painted by henry g. van deman, 1886",https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Pomological_Watercolor_POM00000035.jpg/1280px-Pomological_Watercolor_POM00000035.jpg
"burlington apples, painted by henry g. van deman, 1886",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/Pomological_Watercolor_POM00000036.jpg/1280px-Pomological_Watercolor_POM00000036.jpg
elkhorn apples,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Pomological_Watercolor_POM00000037.jpg/988px-Pomological_Watercolor_POM00000037.jpg
"greenville apples, painted by royal charles steadman, 1918",https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Pomological_Watercolor_POM00000038.jpg/740px-Pomological_Watercolor_POM00000038.jpg
"lacon apples, painted by charles l. hopkins",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Pomological_Watercolor_POM00000039.jpg/851px-Pomological_Watercolor_POM00000039.jpg
"alabama strawberries, 1891",https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Pomological_Watercolor_POM00000040.jpg/887px-Pomological_Watercolor_POM00000040.jpg
"alice strawberries, 1891",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Pomological_Watercolor_POM00000041.jpg/831px-Pomological_Watercolor_POM00000041.jpg
strawberries strawberries,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Pomological_Watercolor_POM00000042.jpg/1280px-Pomological_Watercolor_POM00000042.jpg
"crawford apples, painted by henry g. van deman, 1886",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Pomological_Watercolor_POM00000043.jpg/1280px-Pomological_Watercolor_POM00000043.jpg
"bartons eclipse strawberries, 1891",https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Pomological_Watercolor_POM00000044.jpg/948px-Pomological_Watercolor_POM00000044.jpg
"beauty strawberries, 1891",https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Pomological_Watercolor_POM00000045.jpg/1190px-Pomological_Watercolor_POM00000045.jpg
"walbridge apples, painted by royal charles steadman, 1918",https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Pomological_Watercolor_POM00000046.jpg/756px-Pomological_Watercolor_POM00000046.jpg
"white winter pearmain apples, painted by royal charles steadman, 1918",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Pomological_Watercolor_POM00000047.jpg/726px-Pomological_Watercolor_POM00000047.jpg
"dr. moran strawberries, 1891",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Pomological_Watercolor_POM00000048.jpg/1126px-Pomological_Watercolor_POM00000048.jpg
"dr. moran strawberries, 1891",https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Pomological_Watercolor_POM00000049.jpg/1146px-Pomological_Watercolor_POM00000049.jpg
"cohanzick strawberries, 1891",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Pomological_Watercolor_POM00000050.jpg/860px-Pomological_Watercolor_POM00000050.jpg
"crystal city strawberries, 1891",https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Pomological_Watercolor_POM00000051.jpg/1071px-Pomological_Watercolor_POM00000051.jpg
"improved wilson strawberries, 1891",https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Pomological_Watercolor_POM00000052.jpg/1265px-Pomological_Watercolor_POM00000052.jpg
"improved wilson strawberries, 1891",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Pomological_Watercolor_POM00000053.jpg/749px-Pomological_Watercolor_POM00000053.jpg
"ivanhoe strawberries, 1891",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Pomological_Watercolor_POM00000054.jpg/871px-Pomological_Watercolor_POM00000054.jpg
"winesap apples, painted by royal charles steadman, 1918",https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Pomological_Watercolor_POM00000055.jpg/735px-Pomological_Watercolor_POM00000055.jpg
"waupaca apples, painted by henry g. van deman, 1886",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/Pomological_Watercolor_POM00000056.jpg/1280px-Pomological_Watercolor_POM00000056.jpg
"borovinka apples, painted by william henry prestele",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Pomological_Watercolor_POM00000057.jpg/1280px-Pomological_Watercolor_POM00000057.jpg
"borovinka apples, painted by william henry prestele, 1888",https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Pomological_Watercolor_POM00000058.jpg/803px-Pomological_Watercolor_POM00000058.jpg
